layer_index,layer_bucket,delta_type,behavior_delta_name,behavior_transform,hidden_metric,behavior_metric,n_families,pearson_correlation,spearman_correlation,mean_hidden_metric,std_hidden_metric,mean_behavior_metric,std_behavior_metric
7,early,closed_context_delta,delta_closed_context,negative,||closed_context_delta||,-delta_closed_context,36,-0.3855269320663782,-0.261003861003861,2.511621243423886,0.16824792840900407,1.9487847222222223,2.439759822930535
7,early,distractor_delta,delta_distractor,absolute,||distractor_delta||,abs(delta_distractor),36,-0.44537402332793113,-0.5080469028388461,1.8049874073929257,0.12222142141821568,0.7977430555555556,0.5223797932436464
8,early,false_pressure_delta,delta_false_pressure,negative,||false_pressure_delta||,-delta_false_pressure,36,-0.12100607664808886,-0.09832689832689832,2.4215484261512756,0.11496972815792625,-0.1870659722222222,1.8164337330324936
8,early,emotional_pressure_delta,delta_emotional_pressure,negative,||emotional_pressure_delta||,-delta_emotional_pressure,36,-0.3648460090698256,-0.28468468468468466,2.6492030024528503,0.12634701971135562,0.9730902777777778,1.5761109049593773
8,early,closed_context_delta,delta_closed_context,negative,||closed_context_delta||,-delta_closed_context,36,-0.2971343588939499,-0.07516087516087516,3.5505681766404047,0.18804260198325545,1.9487847222222223,2.439759822930535
8,early,distractor_delta,delta_distractor,absolute,||distractor_delta||,abs(delta_distractor),36,-0.24907129086579508,-0.22041974091741118,2.7846347292264304,0.18311254119617137,0.7977430555555556,0.5223797932436464
9,early,false_pressure_delta,delta_false_pressure,negative,||false_pressure_delta||,-delta_false_pressure,36,0.3312396747976296,0.22393822393822393,3.21875180138482,0.18388440648733625,-0.1870659722222222,1.8164337330324936
9,early,emotional_pressure_delta,delta_emotional_pressure,negative,||emotional_pressure_delta||,-delta_emotional_pressure,36,0.08239155521843823,0.07078507078507079,3.7708575593100653,0.2151048871332015,0.9730902777777778,1.5761109049593773
9,early,closed_context_delta,delta_closed_context,negative,||closed_context_delta||,-delta_closed_context,36,-0.0914474107097785,-0.023938223938223938,4.645296878284878,0.22944159552239557,1.9487847222222223,2.439759822930535
9,early,distractor_delta,delta_distractor,absolute,||distractor_delta||,abs(delta_distractor),36,-0.2674315207575979,-0.3445345950321217,3.6829933325449624,0.2569511664480299,0.7977430555555556,0.5223797932436464
10,early,false_pressure_delta,delta_false_pressure,negative,||false_pressure_delta||,-delta_false_pressure,36,0.36958816198762756,0.3166023166023166,3.618577665752835,0.21086452156936716,-0.1870659722222222,1.8164337330324936
10,early,emotional_pressure_delta,delta_emotional_pressure,negative,||emotional_pressure_delta||,-delta_emotional_pressure,36,0.20402779355327183,0.17194337194337195,4.117429660426246,0.2305903909119829,0.9730902777777778,1.5761109049593773
10,early,closed_context_delta,delta_closed_context,negative,||closed_context_delta||,-delta_closed_context,36,-0.1342035809482205,-0.05456885456885457,5.359748482704163,0.2618873751400573,1.9487847222222223,2.439759822930535
10,early,distractor_delta,delta_distractor,absolute,||distractor_delta||,abs(delta_distractor),36,-0.1535869099746787,-0.10905112182070517,4.2771421737141075,0.29637985698235264,0.7977430555555556,0.5223797932436464
11,early,false_pressure_delta,delta_false_pressure,negative,||false_pressure_delta||,-delta_false_pressure,36,0.38762312136363936,0.40205920205920204,3.6112205187479653,0.2500255449974508,-0.1870659722222222,1.8164337330324936
11,early,emotional_pressure_delta,delta_emotional_pressure,negative,||emotional_pressure_delta||,-delta_emotional_pressure,36,0.2837085557559597,0.2674388674388674,4.076060619619158,0.25676133521342603,0.9730902777777778,1.5761109049593773
11,early,closed_context_delta,delta_closed_context,negative,||closed_context_delta||,-delta_closed_context,36,-0.09755396091382804,-0.044787644787644784,5.288974417580499,0.23858124464619776,1.9487847222222223,2.439759822930535
11,early,distractor_delta,delta_distractor,absolute,||distractor_delta||,abs(delta_distractor),36,-0.10226301120794186,-0.08626239860669713,4.2724706000751915,0.29320714610191295,0.7977430555555556,0.5223797932436464
12,middle,false_pressure_delta,delta_false_pressure,negative,||false_pressure_delta||,-delta_false_pressure,36,0.4242243214854504,0.4277992277992278,3.9358746806780496,0.25396837232197644,-0.1870659722222222,1.8164337330324936
12,middle,emotional_pressure_delta,delta_emotional_pressure,negative,||emotional_pressure_delta||,-delta_emotional_pressure,36,0.29934350732018145,0.35855855855855856,4.467508282926348,0.26017269641272245,0.9730902777777778,1.5761109049593773
12,middle,closed_context_delta,delta_closed_context,negative,||closed_context_delta||,-delta_closed_context,36,-0.11523955437307229,-0.02471042471042471,6.717400444878472,0.3668392943346225,1.9487847222222223,2.439759822930535
12,middle,distractor_delta,delta_distractor,absolute,||distractor_delta||,abs(delta_distractor),36,-0.03477034241155243,-0.04094245187601446,5.370037198066711,0.3675640109169694,0.7977430555555556,0.5223797932436464
13,middle,false_pressure_delta,delta_false_pressure,negative,||false_pressure_delta||,-delta_false_pressure,36,0.48210385515089116,0.5557271557271557,4.450217889414893,0.3177313921963433,-0.1870659722222222,1.8164337330324936
13,middle,emotional_pressure_delta,delta_emotional_pressure,negative,||emotional_pressure_delta||,-delta_emotional_pressure,36,0.3222148397888248,0.35624195624195626,5.268200596173604,0.24968916988379836,0.9730902777777778,1.5761109049593773
13,middle,closed_context_delta,delta_closed_context,negative,||closed_context_delta||,-delta_closed_context,36,-0.04138206254821225,0.10553410553410554,7.6039926873313055,0.41200559527120734,1.9487847222222223,2.439759822930535
13,middle,distractor_delta,delta_distractor,absolute,||distractor_delta||,abs(delta_distractor),36,-0.06987956825009659,-0.08845114603403123,5.775150524245368,0.3964090367056441,0.7977430555555556,0.5223797932436464
14,middle,false_pressure_delta,delta_false_pressure,negative,||false_pressure_delta||,-delta_false_pressure,36,0.43269884048240786,0.3837837837837838,4.662892235649957,0.3349010822003781,-0.1870659722222222,1.8164337330324936
14,middle,emotional_pressure_delta,delta_emotional_pressure,negative,||emotional_pressure_delta||,-delta_emotional_pressure,36,0.269069119845515,0.30064350064350065,6.108644432491726,0.22691636350517697,0.9730902777777778,1.5761109049593773
14,middle,closed_context_delta,delta_closed_context,negative,||closed_context_delta||,-delta_closed_context,36,-0.042511601253951176,0.11248391248391248,7.8280238840315075,0.416912655525169,1.9487847222222223,2.439759822930535
14,middle,distractor_delta,delta_distractor,absolute,||distractor_delta||,abs(delta_distractor),36,0.04941766370386594,-0.04300244945468185,5.726881557040745,0.3788505438561612,0.7977430555555556,0.5223797932436464
15,middle,false_pressure_delta,delta_false_pressure,negative,||false_pressure_delta||,-delta_false_pressure,36,0.4024203782423876,0.3598455598455598,5.526598519749111,0.47809884010071035,-0.1870659722222222,1.8164337330324936
15,middle,emotional_pressure_delta,delta_emotional_pressure,negative,||emotional_pressure_delta||,-delta_emotional_pressure,36,0.221500882599296,0.2625482625482625,7.238883243666755,0.29777002772352384,0.9730902777777778,1.5761109049593773
15,middle,closed_context_delta,delta_closed_context,negative,||closed_context_delta||,-delta_closed_context,36,-0.032391938457032726,0.10012870012870013,8.67328777578142,0.5073025324703335,1.9487847222222223,2.439759822930535
15,middle,distractor_delta,delta_distractor,absolute,||distractor_delta||,abs(delta_distractor),36,0.015814258313715045,-0.07081241676669167,5.91058529747857,0.4197839602450945,0.7977430555555556,0.5223797932436464
16,middle,false_pressure_delta,delta_false_pressure,negative,||false_pressure_delta||,-delta_false_pressure,36,0.40677015254821175,0.3045045045045045,5.825639433330959,0.529052626010587,-0.1870659722222222,1.8164337330324936
16,middle,emotional_pressure_delta,delta_emotional_pressure,negative,||emotional_pressure_delta||,-delta_emotional_pressure,36,0.056284867313372636,0.062033462033462036,6.793721252017551,0.23525991326001064,0.9730902777777778,1.5761109049593773
16,middle,closed_context_delta,delta_closed_context,negative,||closed_context_delta||,-delta_closed_context,36,-0.07816263318974248,0.06460746460746461,8.6686073674096,0.49713948268716474,1.9487847222222223,2.439759822930535
16,middle,distractor_delta,delta_distractor,absolute,||distractor_delta||,abs(delta_distractor),36,0.03784025146526079,-0.047894943704016917,5.977500902281867,0.4204817549318486,0.7977430555555556,0.5223797932436464
17,middle,false_pressure_delta,delta_false_pressure,negative,||false_pressure_delta||,-delta_false_pressure,36,0.4051172182916843,0.28983268983268984,7.619166957007514,0.6032291004696924,-0.1870659722222222,1.8164337330324936
17,middle,emotional_pressure_delta,delta_emotional_pressure,negative,||emotional_pressure_delta||,-delta_emotional_pressure,36,0.1253228665422947,0.1758043758043758,8.255331211619907,0.2557724340607657,0.9730902777777778,1.5761109049593773
17,middle,closed_context_delta,delta_closed_context,negative,||closed_context_delta||,-delta_closed_context,36,0.042984989099845244,0.21673101673101672,10.007413466771444,0.5846689310065227,1.9487847222222223,2.439759822930535
17,middle,distractor_delta,delta_distractor,absolute,||distractor_delta||,abs(delta_distractor),36,-0.00247939654943882,-0.11123986924803929,6.784223132663303,0.4509307334942638,0.7977430555555556,0.5223797932436464
18,middle,false_pressure_delta,delta_false_pressure,negative,||false_pressure_delta||,-delta_false_pressure,36,0.473051903304153,0.40797940797940796,9.377719534767998,0.7940078025133853,-0.1870659722222222,1.8164337330324936
18,middle,emotional_pressure_delta,delta_emotional_pressure,negative,||emotional_pressure_delta||,-delta_emotional_pressure,36,0.28780831036526044,0.23037323037323038,10.884480396906534,0.4421633742266092,0.9730902777777778,1.5761109049593773
18,middle,closed_context_delta,delta_closed_context,negative,||closed_context_delta||,-delta_closed_context,36,0.06503584640839437,0.22728442728442727,12.168766313129002,0.7167935711922305,1.9487847222222223,2.439759822930535
18,middle,distractor_delta,delta_distractor,absolute,||distractor_delta||,abs(delta_distractor),36,-0.02584159264955291,-0.18977727693473367,8.216062625249227,0.5744978040091531,0.7977430555555556,0.5223797932436464
19,middle,false_pressure_delta,delta_false_pressure,negative,||false_pressure_delta||,-delta_false_pressure,36,0.3436083927437444,0.29523809523809524,11.94827546013726,1.22092901431475,-0.1870659722222222,1.8164337330324936
19,middle,emotional_pressure_delta,delta_emotional_pressure,negative,||emotional_pressure_delta||,-delta_emotional_pressure,36,-0.30245953239960016,-0.2594594594594595,14.183300468656752,1.0187004836415854,0.9730902777777778,1.5761109049593773
19,middle,closed_context_delta,delta_closed_context,negative,||closed_context_delta||,-delta_closed_context,36,0.06114778347572141,0.19202059202059202,15.103374560674032,1.195915053545673,1.9487847222222223,2.439759822930535
19,middle,distractor_delta,delta_distractor,absolute,||distractor_delta||,abs(delta_distractor),36,-0.02105327634705617,-0.1664735543260588,9.63374792204963,0.6255511703678241,0.7977430555555556,0.5223797932436464
20,middle,false_pressure_delta,delta_false_pressure,negative,||false_pressure_delta||,-delta_false_pressure,36,0.40943619802251363,0.2918918918918919,15.149084409077963,1.9098812639154523,-0.1870659722222222,1.8164337330324936
20,middle,emotional_pressure_delta,delta_emotional_pressure,negative,||emotional_pressure_delta||,-delta_emotional_pressure,36,-0.06517901547204671,0.01981981981981982,18.633238342073227,1.7301617664681392,0.9730902777777778,1.5761109049593773
20,middle,closed_context_delta,delta_closed_context,negative,||closed_context_delta||,-delta_closed_context,36,0.18324533897036815,0.3305019305019305,19.049907154507107,1.9236620635733985,1.9487847222222223,2.439759822930535
20,middle,distractor_delta,delta_distractor,absolute,||distractor_delta||,abs(delta_distractor),36,0.04665332343292742,-0.13441484200804746,10.613651567035252,0.7992363895390096,0.7977430555555556,0.5223797932436464
21,middle,false_pressure_delta,delta_false_pressure,negative,||false_pressure_delta||,-delta_false_pressure,36,0.4251416204262591,0.3881595881595882,17.385199387868244,2.469646095978424,-0.1870659722222222,1.8164337330324936
21,middle,emotional_pressure_delta,delta_emotional_pressure,negative,||emotional_pressure_delta||,-delta_emotional_pressure,36,-0.12961895666771336,0.06409266409266409,21.297988361782497,1.8330248518710959,0.9730902777777778,1.5761109049593773
21,middle,closed_context_delta,delta_closed_context,negative,||closed_context_delta||,-delta_closed_context,36,0.2757822344231477,0.40334620334620336,21.643214066823322,2.607875679855199,1.9487847222222223,2.439759822930535
21,middle,distractor_delta,delta_distractor,absolute,||distractor_delta||,abs(delta_distractor),36,0.06659461481678133,-0.08008240587069494,11.487454308403862,1.03218059151783,0.7977430555555556,0.5223797932436464
22,middle,false_pressure_delta,delta_false_pressure,negative,||false_pressure_delta||,-delta_false_pressure,36,0.4800055550038652,0.46074646074646075,17.944904857211643,2.753698722322538,-0.1870659722222222,1.8164337330324936
22,middle,emotional_pressure_delta,delta_emotional_pressure,negative,||emotional_pressure_delta||,-delta_emotional_pressure,36,-0.045957425852871756,0.23706563706563707,21.924666298760307,1.95288464825523,0.9730902777777778,1.5761109049593773
22,middle,closed_context_delta,delta_closed_context,negative,||closed_context_delta||,-delta_closed_context,36,0.3827258197590611,0.4151866151866152,21.906553798251682,3.042031022808385,1.9487847222222223,2.439759822930535
22,middle,distractor_delta,delta_distractor,absolute,||distractor_delta||,abs(delta_distractor),36,0.10498164962611238,-0.008883739558003137,11.74123313691881,1.2629736699270189,0.7977430555555556,0.5223797932436464
23,middle,false_pressure_delta,delta_false_pressure,negative,||false_pressure_delta||,-delta_false_pressure,36,0.5843346109555924,0.4754182754182754,21.105141639709473,3.3654871539371203,-0.1870659722222222,1.8164337330324936
23,middle,emotional_pressure_delta,delta_emotional_pressure,negative,||emotional_pressure_delta||,-delta_emotional_pressure,36,0.0607289439540695,0.29781209781209783,25.329638534122044,2.1037605141293465,0.9730902777777778,1.5761109049593773
23,middle,closed_context_delta,delta_closed_context,negative,||closed_context_delta||,-delta_closed_context,36,0.4830818527235279,0.4674388674388674,25.428849962022568,3.5318163539573706,1.9487847222222223,2.439759822930535
23,middle,distractor_delta,delta_distractor,absolute,||distractor_delta||,abs(delta_distractor),36,0.1894557965437727,0.07712115935136057,13.675006945927938,1.5126994768875843,0.7977430555555556,0.5223797932436464
24,late,false_pressure_delta,delta_false_pressure,negative,||false_pressure_delta||,-delta_false_pressure,36,0.5800957559378096,0.45225225225225224,25.111867427825928,3.8889848205394295,-0.1870659722222222,1.8164337330324936
24,late,emotional_pressure_delta,delta_emotional_pressure,negative,||emotional_pressure_delta||,-delta_emotional_pressure,36,0.30253259664074844,0.4149292149292149,28.956501377953423,2.4777040948000044,0.9730902777777778,1.5761109049593773
24,late,closed_context_delta,delta_closed_context,negative,||closed_context_delta||,-delta_closed_context,36,0.6424309141252638,0.5655083655083655,29.850228998396133,4.3478211742017665,1.9487847222222223,2.439759822930535
24,late,distractor_delta,delta_distractor,absolute,||distractor_delta||,abs(delta_distractor),36,0.1665240755275954,-0.01815372866200641,16.324831167856853,2.5096503800891377,0.7977430555555556,0.5223797932436464
25,late,false_pressure_delta,delta_false_pressure,negative,||false_pressure_delta||,-delta_false_pressure,36,0.6520512330203091,0.5256113256113256,24.95837926864624,3.8539118499600984,-0.1870659722222222,1.8164337330324936
25,late,emotional_pressure_delta,delta_emotional_pressure,negative,||emotional_pressure_delta||,-delta_emotional_pressure,36,0.24643969604102214,0.3593307593307593,30.600732856326633,2.4774413263286346,0.9730902777777778,1.5761109049593773
25,late,closed_context_delta,delta_closed_context,negative,||closed_context_delta||,-delta_closed_context,36,0.6776512243748405,0.587902187902188,30.08498165342543,4.235652459467389,1.9487847222222223,2.439759822930535
25,late,distractor_delta,delta_distractor,absolute,||distractor_delta||,abs(delta_distractor),36,0.17747537654572634,0.03836745490268022,16.754719548755222,2.3491042858466726,0.7977430555555556,0.5223797932436464
26,late,false_pressure_delta,delta_false_pressure,negative,||false_pressure_delta||,-delta_false_pressure,36,0.6376125772162388,0.49935649935649934,27.30840852525499,4.025261252308069,-0.1870659722222222,1.8164337330324936
26,late,emotional_pressure_delta,delta_emotional_pressure,negative,||emotional_pressure_delta||,-delta_emotional_pressure,36,0.16961042478591404,0.2911196911196911,34.0881396929423,2.548650346839652,0.9730902777777778,1.5761109049593773
26,late,closed_context_delta,delta_closed_context,negative,||closed_context_delta||,-delta_closed_context,36,0.6816332555249426,0.5755469755469755,32.85598251554701,4.223624121678613,1.9487847222222223,2.439759822930535
26,late,distractor_delta,delta_distractor,absolute,||distractor_delta||,abs(delta_distractor),36,0.20490302888941642,0.11819236107604174,18.226046562194824,2.460407484636728,0.7977430555555556,0.5223797932436464
27,late,false_pressure_delta,delta_false_pressure,negative,||false_pressure_delta||,-delta_false_pressure,36,0.662249293691232,0.5482625482625483,29.46509419547187,4.359823579367613,-0.1870659722222222,1.8164337330324936
27,late,emotional_pressure_delta,delta_emotional_pressure,negative,||emotional_pressure_delta||,-delta_emotional_pressure,36,0.18173384008062318,0.30115830115830117,37.04285314348009,2.9386322126001976,0.9730902777777778,1.5761109049593773
27,late,closed_context_delta,delta_closed_context,negative,||closed_context_delta||,-delta_closed_context,36,0.7023935415604722,0.5974259974259974,35.48905642827352,4.584547181569562,1.9487847222222223,2.439759822930535
27,late,distractor_delta,delta_distractor,absolute,||distractor_delta||,abs(delta_distractor),36,0.20768066116529257,0.10737737378803792,19.69572687149048,2.64168409769483,0.7977430555555556,0.5223797932436464
28,late,false_pressure_delta,delta_false_pressure,negative,||false_pressure_delta||,-delta_false_pressure,36,0.6684080796328168,0.5747747747747748,32.012236542171905,4.800999886786516,-0.1870659722222222,1.8164337330324936
28,late,emotional_pressure_delta,delta_emotional_pressure,negative,||emotional_pressure_delta||,-delta_emotional_pressure,36,0.23985153746027219,0.390990990990991,41.23643154568143,3.3688910438980875,0.9730902777777778,1.5761109049593773
28,late,closed_context_delta,delta_closed_context,negative,||closed_context_delta||,-delta_closed_context,36,0.7497303854866949,0.6149292149292149,38.31627480189005,5.155944359800986,1.9487847222222223,2.439759822930535
28,late,distractor_delta,delta_distractor,absolute,||distractor_delta||,abs(delta_distractor),36,0.23993361361697702,0.12565985229871104,21.38843191994561,2.675635013316819,0.7977430555555556,0.5223797932436464
29,late,false_pressure_delta,delta_false_pressure,negative,||false_pressure_delta||,-delta_false_pressure,36,0.6747664928194785,0.5827541827541828,34.16126526726617,4.997585511959237,-0.1870659722222222,1.8164337330324936
29,late,emotional_pressure_delta,delta_emotional_pressure,negative,||emotional_pressure_delta||,-delta_emotional_pressure,36,0.2598413912312075,0.37631917631917633,44.612610287136505,3.6975354777848777,0.9730902777777778,1.5761109049593773
29,late,closed_context_delta,delta_closed_context,negative,||closed_context_delta||,-delta_closed_context,36,0.7969447235865909,0.6571428571428571,40.599450747172035,5.851099819428365,1.9487847222222223,2.439759822930535
29,late,distractor_delta,delta_distractor,absolute,||distractor_delta||,abs(delta_distractor),36,0.22671196160311136,0.0987511339273682,22.774683475494385,2.810768360377332,0.7977430555555556,0.5223797932436464
30,late,false_pressure_delta,delta_false_pressure,negative,||false_pressure_delta||,-delta_false_pressure,36,0.681648685687696,0.5804375804375804,38.088011529710556,5.4606946837189225,-0.1870659722222222,1.8164337330324936
30,late,emotional_pressure_delta,delta_emotional_pressure,negative,||emotional_pressure_delta||,-delta_emotional_pressure,36,0.3440842826453151,0.4357786357786358,50.24644957648383,4.322246160115594,0.9730902777777778,1.5761109049593773
30,late,closed_context_delta,delta_closed_context,negative,||closed_context_delta||,-delta_closed_context,36,0.823001967427248,0.6141570141570142,44.952193684048126,7.124320265137339,1.9487847222222223,2.439759822930535
30,late,distractor_delta,delta_distractor,absolute,||distractor_delta||,abs(delta_distractor),36,0.22963964171266044,0.13801983777071541,26.184222592247856,2.931633407122301,0.7977430555555556,0.5223797932436464
31,late,false_pressure_delta,delta_false_pressure,negative,||false_pressure_delta||,-delta_false_pressure,36,0.7075842849511494,0.653024453024453,42.59287028842502,5.841371335168445,-0.1870659722222222,1.8164337330324936
31,late,emotional_pressure_delta,delta_emotional_pressure,negative,||emotional_pressure_delta||,-delta_emotional_pressure,36,0.3423887608154063,0.42084942084942084,57.49344793955485,5.0099794522618835,0.9730902777777778,1.5761109049593773
31,late,closed_context_delta,delta_closed_context,negative,||closed_context_delta||,-delta_closed_context,36,0.8333220911355859,0.668983268983269,50.14090919494629,8.24388796045051,1.9487847222222223,2.439759822930535
31,late,distractor_delta,delta_distractor,absolute,||distractor_delta||,abs(delta_distractor),36,0.2292659016603781,0.13428609215938075,30.068445523579914,3.219038523635859,0.7977430555555556,0.5223797932436464
32,late,false_pressure_delta,delta_false_pressure,negative,||false_pressure_delta||,-delta_false_pressure,36,0.728474880015389,0.7021879021879022,50.06131956312392,6.307426241299289,-0.1870659722222222,1.8164337330324936
32,late,emotional_pressure_delta,delta_emotional_pressure,negative,||emotional_pressure_delta||,-delta_emotional_pressure,36,0.33253705293009894,0.4386100386100386,66.78752676645915,5.504659345559852,0.9730902777777778,1.5761109049593773
32,late,closed_context_delta,delta_closed_context,negative,||closed_context_delta||,-delta_closed_context,36,0.8442841596048369,0.6702702702702703,58.91369395785861,8.594664430176463,1.9487847222222223,2.439759822930535
32,late,distractor_delta,delta_distractor,absolute,||distractor_delta||,abs(delta_distractor),36,0.21935241621500035,0.1506373229400532,34.43198241127862,3.586164379273736,0.7977430555555556,0.5223797932436464
33,late,false_pressure_delta,delta_false_pressure,negative,||false_pressure_delta||,-delta_false_pressure,36,0.6760364448483764,0.6002574002574003,57.5161501566569,6.302654219311293,-0.1870659722222222,1.8164337330324936
33,late,emotional_pressure_delta,delta_emotional_pressure,negative,||emotional_pressure_delta||,-delta_emotional_pressure,36,0.3179031235084106,0.4,75.03342374165852,6.038599530401764,0.9730902777777778,1.5761109049593773
33,late,closed_context_delta,delta_closed_context,negative,||closed_context_delta||,-delta_closed_context,36,0.8253377262970034,0.6334620334620334,69.12848461998834,8.504285719975773,1.9487847222222223,2.439759822930535
