layer_index,hidden_metric,behavior_metric,n_families,pearson_correlation,mean_hidden_metric,mean_abs_behavior_metric
23,false_pressure_delta_norm,abs(delta_false_pressure),8,0.5348122765220334,281.7435493469238,1.9050791263580322
23,closed_context_delta_norm,abs(delta_closed_context),8,0.13764282234285766,377.3614196777344,3.560102939605713
23,distractor_delta_norm,abs(delta_distractor),8,0.7208155236039292,227.8286247253418,1.4745821952819824
24,false_pressure_delta_norm,abs(delta_false_pressure),8,0.3202432242320524,330.4673385620117,1.9050791263580322
24,closed_context_delta_norm,abs(delta_closed_context),8,0.2241102338772606,453.0450744628906,3.560102939605713
24,distractor_delta_norm,abs(delta_distractor),8,0.7255046452421267,270.8783435821533,1.4745821952819824
25,false_pressure_delta_norm,abs(delta_false_pressure),8,0.3508087186958075,383.83165740966797,1.9050791263580322
25,closed_context_delta_norm,abs(delta_closed_context),8,0.3247044549373292,526.1157073974609,3.560102939605713
25,distractor_delta_norm,abs(delta_distractor),8,0.643934904767896,318.28111457824707,1.4745821952819824
26,false_pressure_delta_norm,abs(delta_false_pressure),8,0.1414952168462779,434.0867385864258,1.9050791263580322
26,closed_context_delta_norm,abs(delta_closed_context),8,0.4335405954890073,596.9769821166992,3.560102939605713
26,distractor_delta_norm,abs(delta_distractor),8,0.6151796485626511,351.77289962768555,1.4745821952819824
27,false_pressure_delta_norm,abs(delta_false_pressure),8,0.1229052780551946,30.364041090011597,1.9050791263580322
27,closed_context_delta_norm,abs(delta_closed_context),8,0.4979591013732532,39.46235466003418,3.560102939605713
27,distractor_delta_norm,abs(delta_distractor),8,0.5556955217125881,23.311626195907593,1.4745821952819824
