condition,anchor,layer,mean_delta_norm,median_delta_norm,n_families
evidence_authority_pressure,S0,32,0.00000000,0.00000000,80
evidence_authority_pressure,S0,33,0.00000000,0.00000000,80
evidence_authority_pressure,S0,34,0.00000000,0.00000000,80
evidence_authority_pressure,S0,35,0.00000000,0.00000000,80
evidence_authority_pressure,S1,0,0.00000000,0.00000000,80
evidence_authority_pressure,S1,1,0.00000000,0.00000000,80
evidence_authority_pressure,S1,2,0.00000000,0.00000000,80
evidence_authority_pressure,S1,3,0.00000000,0.00000000,80
evidence_authority_pressure,S1,4,0.00000000,0.00000000,80
evidence_authority_pressure,S1,5,0.00000000,0.00000000,80
evidence_authority_pressure,S1,6,0.00000000,0.00000000,80
evidence_authority_pressure,S1,7,0.00000000,0.00000000,80
evidence_authority_pressure,S1,8,0.00000000,0.00000000,80
evidence_authority_pressure,S1,9,0.00000000,0.00000000,80
evidence_authority_pressure,S1,10,0.00000000,0.00000000,80
evidence_authority_pressure,S1,11,0.00000000,0.00000000,80
evidence_authority_pressure,S1,12,0.00000000,0.00000000,80
evidence_authority_pressure,S1,13,0.00000000,0.00000000,80
evidence_authority_pressure,S1,14,0.00000000,0.00000000,80
evidence_authority_pressure,S1,15,0.00000000,0.00000000,80
evidence_authority_pressure,S1,16,0.00000000,0.00000000,80
evidence_authority_pressure,S1,17,0.00000000,0.00000000,80
evidence_authority_pressure,S1,18,0.00000000,0.00000000,80
evidence_authority_pressure,S1,19,0.00000000,0.00000000,80
evidence_authority_pressure,S1,20,0.00000000,0.00000000,80
evidence_authority_pressure,S1,21,0.00000000,0.00000000,80
evidence_authority_pressure,S1,22,0.00000000,0.00000000,80
evidence_authority_pressure,S1,23,0.00000000,0.00000000,80
evidence_authority_pressure,S1,24,0.00000000,0.00000000,80
evidence_authority_pressure,S1,25,0.00000000,0.00000000,80
evidence_authority_pressure,S1,26,0.00000000,0.00000000,80
evidence_authority_pressure,S1,27,0.00000000,0.00000000,80
evidence_authority_pressure,S1,28,0.00000000,0.00000000,80
evidence_authority_pressure,S1,29,0.00000000,0.00000000,80
evidence_authority_pressure,S1,30,0.00000000,0.00000000,80
evidence_authority_pressure,S1,31,0.00000000,0.00000000,80
evidence_authority_pressure,S1,32,0.00000000,0.00000000,80
evidence_authority_pressure,S1,33,0.00000000,0.00000000,80
evidence_authority_pressure,S1,34,0.00000000,0.00000000,80
evidence_authority_pressure,S1,35,0.00000000,0.00000000,80
evidence_authority_pressure,S2,0,0.00000000,0.00000000,80
evidence_authority_pressure,S2,1,0.00000000,0.00000000,80
evidence_authority_pressure,S2,2,0.00000000,0.00000000,80
evidence_authority_pressure,S2,3,0.00000000,0.00000000,80
evidence_authority_pressure,S2,4,0.00000000,0.00000000,80
evidence_authority_pressure,S2,5,0.00000000,0.00000000,80
evidence_authority_pressure,S2,6,0.00000000,0.00000000,80
evidence_authority_pressure,S2,7,0.00000000,0.00000000,80
evidence_authority_pressure,S2,8,0.00000000,0.00000000,80
evidence_authority_pressure,S2,9,0.00000000,0.00000000,80
evidence_authority_pressure,S2,10,0.00000000,0.00000000,80
evidence_authority_pressure,S2,11,0.00000000,0.00000000,80
evidence_authority_pressure,S2,12,0.00000000,0.00000000,80
evidence_authority_pressure,S2,13,0.00000000,0.00000000,80
evidence_authority_pressure,S2,14,0.00000000,0.00000000,80
evidence_authority_pressure,S2,15,0.00000000,0.00000000,80
evidence_authority_pressure,S2,16,0.00000000,0.00000000,80
evidence_authority_pressure,S2,17,0.00000000,0.00000000,80
evidence_authority_pressure,S2,18,0.00000000,0.00000000,80
evidence_authority_pressure,S2,19,0.00000000,0.00000000,80
evidence_authority_pressure,S2,20,0.00000000,0.00000000,80
evidence_authority_pressure,S2,21,0.00000000,0.00000000,80
evidence_authority_pressure,S2,22,0.00000000,0.00000000,80
evidence_authority_pressure,S2,23,0.00000000,0.00000000,80
evidence_authority_pressure,S2,24,0.00000000,0.00000000,80
evidence_authority_pressure,S2,25,0.00000000,0.00000000,80
evidence_authority_pressure,S2,26,0.00000000,0.00000000,80
evidence_authority_pressure,S2,27,0.00000000,0.00000000,80
evidence_authority_pressure,S2,28,0.00000000,0.00000000,80
evidence_authority_pressure,S2,29,0.00000000,0.00000000,80
evidence_authority_pressure,S2,30,0.00000000,0.00000000,80
evidence_authority_pressure,S2,31,0.00000000,0.00000000,80
evidence_authority_pressure,S2,32,0.00000000,0.00000000,80
evidence_authority_pressure,S2,33,0.00000000,0.00000000,80
evidence_authority_pressure,S2,34,0.00000000,0.00000000,80
evidence_authority_pressure,S2,35,0.00000000,0.00000000,80
evidence_authority_pressure,S3,0,1.07572846,1.07190401,80
evidence_authority_pressure,S3,1,1.68285847,1.68945661,80
evidence_authority_pressure,S3,2,2.42386751,2.42076552,80
evidence_authority_pressure,S3,3,3.66098245,3.66058716,80
evidence_authority_pressure,S3,4,4.42093319,4.41393848,80
evidence_authority_pressure,S3,5,5.69413960,5.70160723,80
evidence_authority_pressure,S3,6,8.69115237,8.69030022,80
evidence_authority_pressure,S3,7,11.15938487,11.17641888,80
evidence_authority_pressure,S3,8,15.08762936,15.07864205,80
evidence_authority_pressure,S3,9,14.39411721,14.36930077,80
evidence_authority_pressure,S3,10,16.12465327,16.09330990,80
evidence_authority_pressure,S3,11,16.71298200,16.75593774,80
evidence_authority_pressure,S3,12,18.91793333,18.98180774,80
evidence_authority_pressure,S3,13,18.33473446,18.31840797,80
evidence_authority_pressure,S3,14,19.23416534,19.17297238,80
evidence_authority_pressure,S3,15,21.08206307,21.07475166,80
evidence_authority_pressure,S3,16,23.20122825,23.17298863,80
evidence_authority_pressure,S3,17,26.49323917,26.51013381,80
evidence_authority_pressure,S3,18,27.40706619,27.34061657,80
evidence_authority_pressure,S3,19,34.95033035,34.82460637,80
evidence_authority_pressure,S3,20,38.36974835,37.87387178,80
evidence_authority_pressure,S3,21,42.90483466,42.52126920,80
evidence_authority_pressure,S3,22,46.61662714,46.71418982,80
evidence_authority_pressure,S3,23,54.94610888,54.59629684,80
evidence_authority_pressure,S3,24,65.99958560,65.13365956,80
evidence_authority_pressure,S3,25,75.37019347,74.30726465,80
evidence_authority_pressure,S3,26,84.61233976,83.20060005,80
evidence_authority_pressure,S3,27,102.11024743,100.95818984,80
evidence_authority_pressure,S3,28,121.45612704,119.95281775,80
evidence_authority_pressure,S3,29,139.57231375,137.00399728,80
evidence_authority_pressure,S3,30,167.21110332,163.51429461,80
evidence_authority_pressure,S3,31,186.58485965,182.77998382,80
evidence_authority_pressure,S3,32,210.07779602,206.98899702,80
evidence_authority_pressure,S3,33,227.74303080,224.33061234,80
evidence_authority_pressure,S3,34,251.72161834,247.50122328,80
evidence_authority_pressure,S3,35,113.93988180,112.36605671,80
evidence_authority_pressure,S4,0,1.12890962,1.12865790,80
evidence_authority_pressure,S4,1,1.20745909,1.20846887,80
evidence_authority_pressure,S4,2,1.35363784,1.35489704,80
evidence_authority_pressure,S4,3,1.71728996,1.71601139,80
evidence_authority_pressure,S4,4,2.05379964,2.05370370,80
evidence_authority_pressure,S4,5,2.48678514,2.48702227,80
evidence_authority_pressure,S4,6,3.12793888,3.10577896,80
evidence_authority_pressure,S4,7,3.57527438,3.53783579,80
evidence_authority_pressure,S4,8,4.59781686,4.55771707,80
evidence_authority_pressure,S4,9,4.60947382,4.55648720,80
evidence_authority_pressure,S4,10,4.29084805,4.27194032,80
evidence_authority_pressure,S4,11,4.14831884,4.11886314,80
evidence_authority_pressure,S4,12,5.15140003,5.16428433,80
evidence_authority_pressure,S4,13,5.63147491,5.62040222,80
evidence_authority_pressure,S4,14,5.90707614,5.91498418,80
evidence_authority_pressure,S4,15,7.02453936,7.00833559,80
evidence_authority_pressure,S4,16,7.76942104,7.80049399,80
evidence_authority_pressure,S4,17,9.01801267,9.00977374,80
evidence_authority_pressure,S4,18,13.76796069,13.72324878,80
evidence_authority_pressure,S4,19,18.18024842,18.08941925,80
evidence_authority_pressure,S4,20,23.75623182,23.65131455,80
evidence_authority_pressure,S4,21,26.76236499,26.72643078,80
evidence_authority_pressure,S4,22,26.76377190,26.69242469,80
evidence_authority_pressure,S4,23,31.15559213,30.52383840,80
evidence_authority_pressure,S4,24,35.66182145,34.41786377,80
evidence_authority_pressure,S4,25,37.44544596,36.30387855,80
evidence_authority_pressure,S4,26,42.15113993,41.34031831,80
evidence_authority_pressure,S4,27,46.05136416,45.23759653,80
evidence_authority_pressure,S4,28,50.05939479,48.71089210,80
evidence_authority_pressure,S4,29,54.95106260,53.19989552,80
evidence_authority_pressure,S4,30,60.90055793,59.35339165,80
evidence_authority_pressure,S4,31,67.27486156,63.83598712,80
evidence_authority_pressure,S4,32,77.72554344,74.51007010,80
evidence_authority_pressure,S4,33,87.11424279,84.17483056,80
evidence_authority_pressure,S4,34,106.73599430,104.70019975,80
evidence_authority_pressure,S4,35,49.57840703,48.59924073,80
evidence_distractor_neutral,S0,0,0.00000000,0.00000000,80
evidence_distractor_neutral,S0,1,0.00000000,0.00000000,80
evidence_distractor_neutral,S0,2,0.00000000,0.00000000,80
evidence_distractor_neutral,S0,3,0.00000000,0.00000000,80
evidence_distractor_neutral,S0,4,0.00000000,0.00000000,80
evidence_distractor_neutral,S0,5,0.00000000,0.00000000,80
evidence_distractor_neutral,S0,6,0.00000000,0.00000000,80
evidence_distractor_neutral,S0,7,0.00000000,0.00000000,80
evidence_distractor_neutral,S0,8,0.00000000,0.00000000,80
evidence_distractor_neutral,S0,9,0.00000000,0.00000000,80
evidence_distractor_neutral,S0,10,0.00000000,0.00000000,80
evidence_distractor_neutral,S0,11,0.00000000,0.00000000,80
evidence_distractor_neutral,S0,12,0.00000000,0.00000000,80
evidence_distractor_neutral,S0,13,0.00000000,0.00000000,80
evidence_distractor_neutral,S0,14,0.00000000,0.00000000,80
evidence_distractor_neutral,S0,15,0.00000000,0.00000000,80
evidence_distractor_neutral,S0,16,0.00000000,0.00000000,80
evidence_distractor_neutral,S0,17,0.00000000,0.00000000,80
evidence_distractor_neutral,S0,18,0.00000000,0.00000000,80
evidence_distractor_neutral,S0,19,0.00000000,0.00000000,80
evidence_distractor_neutral,S0,20,0.00000000,0.00000000,80
evidence_distractor_neutral,S0,21,0.00000000,0.00000000,80
evidence_distractor_neutral,S0,22,0.00000000,0.00000000,80
evidence_distractor_neutral,S0,23,0.00000000,0.00000000,80
evidence_distractor_neutral,S0,24,0.00000000,0.00000000,80
evidence_distractor_neutral,S0,25,0.00000000,0.00000000,80
evidence_distractor_neutral,S0,26,0.00000000,0.00000000,80
evidence_distractor_neutral,S0,27,0.00000000,0.00000000,80
evidence_distractor_neutral,S0,28,0.00000000,0.00000000,80
evidence_distractor_neutral,S0,29,0.00000000,0.00000000,80
evidence_distractor_neutral,S0,30,0.00000000,0.00000000,80
evidence_distractor_neutral,S0,31,0.00000000,0.00000000,80
evidence_distractor_neutral,S0,32,0.00000000,0.00000000,80
evidence_distractor_neutral,S0,33,0.00000000,0.00000000,80
evidence_distractor_neutral,S0,34,0.00000000,0.00000000,80
evidence_distractor_neutral,S0,35,0.00000000,0.00000000,80
evidence_distractor_neutral,S1,0,0.00000000,0.00000000,80
evidence_distractor_neutral,S1,1,0.00000000,0.00000000,80
evidence_distractor_neutral,S1,2,0.00000000,0.00000000,80
evidence_distractor_neutral,S1,3,0.00000000,0.00000000,80
evidence_distractor_neutral,S1,4,0.00000000,0.00000000,80
evidence_distractor_neutral,S1,5,0.00000000,0.00000000,80
evidence_distractor_neutral,S1,6,0.00000000,0.00000000,80
evidence_distractor_neutral,S1,7,0.00000000,0.00000000,80
evidence_distractor_neutral,S1,8,0.00000000,0.00000000,80
evidence_distractor_neutral,S1,9,0.00000000,0.00000000,80
evidence_distractor_neutral,S1,10,0.00000000,0.00000000,80
evidence_distractor_neutral,S1,11,0.00000000,0.00000000,80
evidence_distractor_neutral,S1,12,0.00000000,0.00000000,80
evidence_distractor_neutral,S1,13,0.00000000,0.00000000,80
evidence_distractor_neutral,S1,14,0.00000000,0.00000000,80
evidence_distractor_neutral,S1,15,0.00000000,0.00000000,80
evidence_distractor_neutral,S1,16,0.00000000,0.00000000,80
evidence_distractor_neutral,S1,17,0.00000000,0.00000000,80
evidence_distractor_neutral,S1,18,0.00000000,0.00000000,80
evidence_distractor_neutral,S1,19,0.00000000,0.00000000,80
evidence_distractor_neutral,S1,20,0.00000000,0.00000000,80
evidence_distractor_neutral,S1,21,0.00000000,0.00000000,80
evidence_distractor_neutral,S1,22,0.00000000,0.00000000,80
evidence_distractor_neutral,S1,23,0.00000000,0.00000000,80
evidence_distractor_neutral,S1,24,0.00000000,0.00000000,80
evidence_distractor_neutral,S1,25,0.00000000,0.00000000,80
evidence_distractor_neutral,S1,26,0.00000000,0.00000000,80
evidence_distractor_neutral,S1,27,0.00000000,0.00000000,80
evidence_distractor_neutral,S1,28,0.00000000,0.00000000,80
evidence_distractor_neutral,S1,29,0.00000000,0.00000000,80
evidence_distractor_neutral,S1,30,0.00000000,0.00000000,80
evidence_distractor_neutral,S1,31,0.00000000,0.00000000,80
evidence_distractor_neutral,S1,32,0.00000000,0.00000000,80
evidence_distractor_neutral,S1,33,0.00000000,0.00000000,80
evidence_distractor_neutral,S1,34,0.00000000,0.00000000,80
evidence_distractor_neutral,S1,35,0.00000000,0.00000000,80
evidence_distractor_neutral,S2,0,0.00000000,0.00000000,80
evidence_distractor_neutral,S2,1,0.00000000,0.00000000,80
evidence_distractor_neutral,S2,2,0.00000000,0.00000000,80
evidence_distractor_neutral,S2,3,0.00000000,0.00000000,80
evidence_distractor_neutral,S2,4,0.00000000,0.00000000,80
evidence_distractor_neutral,S2,5,0.00000000,0.00000000,80
evidence_distractor_neutral,S2,6,0.00000000,0.00000000,80
evidence_distractor_neutral,S2,7,0.00000000,0.00000000,80
evidence_distractor_neutral,S2,8,0.00000000,0.00000000,80
evidence_distractor_neutral,S2,9,0.00000000,0.00000000,80
evidence_distractor_neutral,S2,10,0.00000000,0.00000000,80
evidence_distractor_neutral,S2,11,0.00000000,0.00000000,80
evidence_distractor_neutral,S2,12,0.00000000,0.00000000,80
evidence_distractor_neutral,S2,13,0.00000000,0.00000000,80
evidence_distractor_neutral,S2,14,0.00000000,0.00000000,80
evidence_distractor_neutral,S2,15,0.00000000,0.00000000,80
evidence_distractor_neutral,S2,16,0.00000000,0.00000000,80
evidence_distractor_neutral,S2,17,0.00000000,0.00000000,80
evidence_distractor_neutral,S2,18,0.00000000,0.00000000,80
evidence_distractor_neutral,S2,19,0.00000000,0.00000000,80
evidence_distractor_neutral,S2,20,0.00000000,0.00000000,80
evidence_distractor_neutral,S2,21,0.00000000,0.00000000,80
evidence_distractor_neutral,S2,22,0.00000000,0.00000000,80
evidence_distractor_neutral,S2,23,0.00000000,0.00000000,80
evidence_distractor_neutral,S2,24,0.00000000,0.00000000,80
evidence_distractor_neutral,S2,25,0.00000000,0.00000000,80
evidence_distractor_neutral,S2,26,0.00000000,0.00000000,80
evidence_distractor_neutral,S2,27,0.00000000,0.00000000,80
evidence_distractor_neutral,S2,28,0.00000000,0.00000000,80
evidence_distractor_neutral,S2,29,0.00000000,0.00000000,80
evidence_distractor_neutral,S2,30,0.00000000,0.00000000,80
evidence_distractor_neutral,S2,31,0.00000000,0.00000000,80
evidence_distractor_neutral,S2,32,0.00000000,0.00000000,80
evidence_distractor_neutral,S2,33,0.00000000,0.00000000,80
evidence_distractor_neutral,S2,34,0.00000000,0.00000000,80
evidence_distractor_neutral,S2,35,0.00000000,0.00000000,80
evidence_distractor_neutral,S3,0,0.84012628,0.84116518,80
evidence_distractor_neutral,S3,1,1.41167010,1.40571257,80
evidence_distractor_neutral,S3,2,2.02195247,2.01653317,80
evidence_distractor_neutral,S3,3,2.65161554,2.63079248,80
evidence_distractor_neutral,S3,4,3.31818134,3.30286168,80
evidence_distractor_neutral,S3,5,4.24957861,4.24124395,80
evidence_distractor_neutral,S3,6,6.23400654,6.21294030,80
evidence_distractor_neutral,S3,7,8.01169247,8.02268038,80
evidence_distractor_neutral,S3,8,9.37794997,9.27448126,80
evidence_distractor_neutral,S3,9,8.76134784,8.72218993,80
evidence_distractor_neutral,S3,10,9.13967942,9.19033839,80
evidence_distractor_neutral,S3,11,9.64923413,9.71073889,80
evidence_distractor_neutral,S3,12,9.88021674,9.82347745,80
evidence_distractor_neutral,S3,13,9.92780062,9.92605211,80
evidence_distractor_neutral,S3,14,11.67075397,11.49814366,80
evidence_distractor_neutral,S3,15,12.95441318,12.78406177,80
evidence_distractor_neutral,S3,16,13.63313761,13.41368835,80
evidence_distractor_neutral,S3,17,15.16230052,14.94579480,80
evidence_distractor_neutral,S3,18,15.45086201,15.16896647,80
evidence_distractor_neutral,S3,19,19.35577228,19.08352974,80
evidence_distractor_neutral,S3,20,21.52475946,21.14235652,80
evidence_distractor_neutral,S3,21,24.17186809,23.85074901,80
evidence_distractor_neutral,S3,22,25.34432447,25.16575892,80
evidence_distractor_neutral,S3,23,29.87703418,29.70482345,80
evidence_distractor_neutral,S3,24,36.89405120,36.78596168,80
evidence_distractor_neutral,S3,25,41.99646013,41.78490805,80
evidence_distractor_neutral,S3,26,47.87267427,48.00318020,80
evidence_distractor_neutral,S3,27,56.54292276,56.81715440,80
evidence_distractor_neutral,S3,28,69.40466800,69.37644919,80
evidence_distractor_neutral,S3,29,81.65786397,82.10941990,80
evidence_distractor_neutral,S3,30,99.61949063,99.32705719,80
evidence_distractor_neutral,S3,31,114.87259840,114.29772005,80
evidence_distractor_neutral,S3,32,132.20246614,131.94286368,80
evidence_distractor_neutral,S3,33,149.37958535,148.33601411,80
evidence_distractor_neutral,S3,34,170.73852137,167.59616651,80
evidence_distractor_neutral,S3,35,73.38092370,72.91535358,80
evidence_distractor_neutral,S4,0,0.45266682,0.35341941,80
evidence_distractor_neutral,S4,1,0.53640332,0.44361903,80
evidence_distractor_neutral,S4,2,0.68155393,0.60007362,80
evidence_distractor_neutral,S4,3,0.82226971,0.76188440,80
evidence_distractor_neutral,S4,4,1.07305561,1.01844708,80
evidence_distractor_neutral,S4,5,1.41359715,1.37520866,80
evidence_distractor_neutral,S4,6,1.79942343,1.77953358,80
evidence_distractor_neutral,S4,7,2.24187321,2.20050164,80
evidence_distractor_neutral,S4,8,2.91035508,2.88133085,80
evidence_distractor_neutral,S4,9,2.97395319,2.95824433,80
evidence_distractor_neutral,S4,10,3.21522488,3.22034441,80
evidence_distractor_neutral,S4,11,3.11412729,3.10583865,80
evidence_distractor_neutral,S4,12,3.40542167,3.39955984,80
evidence_distractor_neutral,S4,13,3.69124951,3.66884675,80
evidence_distractor_neutral,S4,14,3.85304251,3.83514638,80
evidence_distractor_neutral,S4,15,4.14448698,4.12052756,80
evidence_distractor_neutral,S4,16,4.51007320,4.47610374,80
evidence_distractor_neutral,S4,17,4.78718485,4.71181726,80
evidence_distractor_neutral,S4,18,5.62398207,5.59618104,80
evidence_distractor_neutral,S4,19,7.24286455,7.17851380,80
evidence_distractor_neutral,S4,20,8.88859759,8.72218151,80
evidence_distractor_neutral,S4,21,9.40892406,9.29161312,80
evidence_distractor_neutral,S4,22,9.23362863,9.04751196,80
evidence_distractor_neutral,S4,23,10.15056769,9.92973846,80
evidence_distractor_neutral,S4,24,11.51173440,11.09556690,80
evidence_distractor_neutral,S4,25,12.16043341,11.92471812,80
evidence_distractor_neutral,S4,26,13.08862136,12.97433212,80
evidence_distractor_neutral,S4,27,14.15040051,13.97784720,80
evidence_distractor_neutral,S4,28,15.39274381,15.22100314,80
evidence_distractor_neutral,S4,29,16.40058736,16.22866128,80
evidence_distractor_neutral,S4,30,18.03304655,17.83044986,80
evidence_distractor_neutral,S4,31,20.37740273,19.96901714,80
evidence_distractor_neutral,S4,32,24.46727535,24.08116081,80
evidence_distractor_neutral,S4,33,28.38147838,28.06308818,80
evidence_distractor_neutral,S4,34,38.45678858,38.17922280,80
evidence_distractor_neutral,S4,35,18.08161897,17.78430473,80
evidence_emotional_pressure,S0,0,0.00000000,0.00000000,80
evidence_emotional_pressure,S0,1,0.00000000,0.00000000,80
evidence_emotional_pressure,S0,2,0.00000000,0.00000000,80
evidence_emotional_pressure,S0,3,0.00000000,0.00000000,80
evidence_emotional_pressure,S0,4,0.00000000,0.00000000,80
evidence_emotional_pressure,S0,5,0.00000000,0.00000000,80
evidence_emotional_pressure,S0,6,0.00000000,0.00000000,80
evidence_emotional_pressure,S0,7,0.00000000,0.00000000,80
evidence_emotional_pressure,S0,8,0.00000000,0.00000000,80
evidence_emotional_pressure,S0,9,0.00000000,0.00000000,80
evidence_emotional_pressure,S0,10,0.00000000,0.00000000,80
evidence_emotional_pressure,S0,11,0.00000000,0.00000000,80
evidence_emotional_pressure,S0,12,0.00000000,0.00000000,80
evidence_emotional_pressure,S0,13,0.00000000,0.00000000,80
evidence_emotional_pressure,S0,14,0.00000000,0.00000000,80
evidence_emotional_pressure,S0,15,0.00000000,0.00000000,80
evidence_emotional_pressure,S0,16,0.00000000,0.00000000,80
evidence_emotional_pressure,S0,17,0.00000000,0.00000000,80
evidence_emotional_pressure,S0,18,0.00000000,0.00000000,80
evidence_emotional_pressure,S0,19,0.00000000,0.00000000,80
evidence_emotional_pressure,S0,20,0.00000000,0.00000000,80
evidence_emotional_pressure,S0,21,0.00000000,0.00000000,80
evidence_emotional_pressure,S0,22,0.00000000,0.00000000,80
evidence_emotional_pressure,S0,23,0.00000000,0.00000000,80
evidence_emotional_pressure,S0,24,0.00000000,0.00000000,80
evidence_emotional_pressure,S0,25,0.00000000,0.00000000,80
evidence_emotional_pressure,S0,26,0.00000000,0.00000000,80
evidence_emotional_pressure,S0,27,0.00000000,0.00000000,80
evidence_emotional_pressure,S0,28,0.00000000,0.00000000,80
evidence_emotional_pressure,S0,29,0.00000000,0.00000000,80
evidence_emotional_pressure,S0,30,0.00000000,0.00000000,80
evidence_emotional_pressure,S0,31,0.00000000,0.00000000,80
evidence_emotional_pressure,S0,32,0.00000000,0.00000000,80
evidence_emotional_pressure,S0,33,0.00000000,0.00000000,80
evidence_emotional_pressure,S0,34,0.00000000,0.00000000,80
evidence_emotional_pressure,S0,35,0.00000000,0.00000000,80
evidence_emotional_pressure,S1,0,0.00000000,0.00000000,80
evidence_emotional_pressure,S1,1,0.00000000,0.00000000,80
evidence_emotional_pressure,S1,2,0.00000000,0.00000000,80
evidence_emotional_pressure,S1,3,0.00000000,0.00000000,80
evidence_emotional_pressure,S1,4,0.00000000,0.00000000,80
evidence_emotional_pressure,S1,5,0.00000000,0.00000000,80
evidence_emotional_pressure,S1,6,0.00000000,0.00000000,80
evidence_emotional_pressure,S1,7,0.00000000,0.00000000,80
evidence_emotional_pressure,S1,8,0.00000000,0.00000000,80
evidence_emotional_pressure,S1,9,0.00000000,0.00000000,80
evidence_emotional_pressure,S1,10,0.00000000,0.00000000,80
evidence_emotional_pressure,S1,11,0.00000000,0.00000000,80
evidence_emotional_pressure,S1,12,0.00000000,0.00000000,80
evidence_emotional_pressure,S1,13,0.00000000,0.00000000,80
evidence_emotional_pressure,S1,14,0.00000000,0.00000000,80
evidence_emotional_pressure,S1,15,0.00000000,0.00000000,80
evidence_emotional_pressure,S1,16,0.00000000,0.00000000,80
evidence_emotional_pressure,S1,17,0.00000000,0.00000000,80
evidence_emotional_pressure,S1,18,0.00000000,0.00000000,80
evidence_emotional_pressure,S1,19,0.00000000,0.00000000,80
evidence_emotional_pressure,S1,20,0.00000000,0.00000000,80
evidence_emotional_pressure,S1,21,0.00000000,0.00000000,80
evidence_emotional_pressure,S1,22,0.00000000,0.00000000,80
evidence_emotional_pressure,S1,23,0.00000000,0.00000000,80
evidence_emotional_pressure,S1,24,0.00000000,0.00000000,80
evidence_emotional_pressure,S1,25,0.00000000,0.00000000,80
evidence_emotional_pressure,S1,26,0.00000000,0.00000000,80
evidence_emotional_pressure,S1,27,0.00000000,0.00000000,80
evidence_emotional_pressure,S1,28,0.00000000,0.00000000,80
evidence_emotional_pressure,S1,29,0.00000000,0.00000000,80
evidence_emotional_pressure,S1,30,0.00000000,0.00000000,80
evidence_emotional_pressure,S1,31,0.00000000,0.00000000,80
evidence_emotional_pressure,S1,32,0.00000000,0.00000000,80
evidence_emotional_pressure,S1,33,0.00000000,0.00000000,80
evidence_emotional_pressure,S1,34,0.00000000,0.00000000,80
evidence_emotional_pressure,S1,35,0.00000000,0.00000000,80
evidence_emotional_pressure,S2,0,0.00000000,0.00000000,80
evidence_emotional_pressure,S2,1,0.00000000,0.00000000,80
evidence_emotional_pressure,S2,2,0.00000000,0.00000000,80
evidence_emotional_pressure,S2,3,0.00000000,0.00000000,80
evidence_emotional_pressure,S2,4,0.00000000,0.00000000,80
evidence_emotional_pressure,S2,5,0.00000000,0.00000000,80
evidence_emotional_pressure,S2,6,0.00000000,0.00000000,80
evidence_emotional_pressure,S2,7,0.00000000,0.00000000,80
evidence_emotional_pressure,S2,8,0.00000000,0.00000000,80
evidence_emotional_pressure,S2,9,0.00000000,0.00000000,80
evidence_emotional_pressure,S2,10,0.00000000,0.00000000,80
evidence_emotional_pressure,S2,11,0.00000000,0.00000000,80
evidence_emotional_pressure,S2,12,0.00000000,0.00000000,80
evidence_emotional_pressure,S2,13,0.00000000,0.00000000,80
evidence_emotional_pressure,S2,14,0.00000000,0.00000000,80
evidence_emotional_pressure,S2,15,0.00000000,0.00000000,80
evidence_emotional_pressure,S2,16,0.00000000,0.00000000,80
evidence_emotional_pressure,S2,17,0.00000000,0.00000000,80
evidence_emotional_pressure,S2,18,0.00000000,0.00000000,80
evidence_emotional_pressure,S2,19,0.00000000,0.00000000,80
evidence_emotional_pressure,S2,20,0.00000000,0.00000000,80
evidence_emotional_pressure,S2,21,0.00000000,0.00000000,80
evidence_emotional_pressure,S2,22,0.00000000,0.00000000,80
