task_name,anchor_subset,metric,fold,value,notes
task1_pooled_harmful_vs_nonharmful,S3,f1_micro,3,0.982143,"REDUCED anchors=S3, layers_per_anchor=[20, 24, 28, 32, 35], feat_dim=12800"
task1_pooled_harmful_vs_nonharmful,S3,auroc,3,1.000000,"REDUCED anchors=S3, layers_per_anchor=[20, 24, 28, 32, 35], feat_dim=12800"
task1_pooled_harmful_vs_nonharmful,S3,ap,3,1.000000,"REDUCED anchors=S3, layers_per_anchor=[20, 24, 28, 32, 35], feat_dim=12800"
task1_pooled_harmful_vs_nonharmful,S3,tn,3,46,"REDUCED anchors=S3, layers_per_anchor=[20, 24, 28, 32, 35], feat_dim=12800"
task1_pooled_harmful_vs_nonharmful,S3,fp,3,2,"REDUCED anchors=S3, layers_per_anchor=[20, 24, 28, 32, 35], feat_dim=12800"
task1_pooled_harmful_vs_nonharmful,S3,fn,3,0,"REDUCED anchors=S3, layers_per_anchor=[20, 24, 28, 32, 35], feat_dim=12800"
task1_pooled_harmful_vs_nonharmful,S3,tp,3,64,"REDUCED anchors=S3, layers_per_anchor=[20, 24, 28, 32, 35], feat_dim=12800"
task1_pooled_harmful_vs_nonharmful,S3,balanced_acc,4,1.000000,"REDUCED anchors=S3, layers_per_anchor=[20, 24, 28, 32, 35], feat_dim=12800"
task1_pooled_harmful_vs_nonharmful,S3,f1_micro,4,1.000000,"REDUCED anchors=S3, layers_per_anchor=[20, 24, 28, 32, 35], feat_dim=12800"
task1_pooled_harmful_vs_nonharmful,S3,auroc,4,1.000000,"REDUCED anchors=S3, layers_per_anchor=[20, 24, 28, 32, 35], feat_dim=12800"
task1_pooled_harmful_vs_nonharmful,S3,ap,4,1.000000,"REDUCED anchors=S3, layers_per_anchor=[20, 24, 28, 32, 35], feat_dim=12800"
task1_pooled_harmful_vs_nonharmful,S3,tn,4,48,"REDUCED anchors=S3, layers_per_anchor=[20, 24, 28, 32, 35], feat_dim=12800"
task1_pooled_harmful_vs_nonharmful,S3,fp,4,0,"REDUCED anchors=S3, layers_per_anchor=[20, 24, 28, 32, 35], feat_dim=12800"
task1_pooled_harmful_vs_nonharmful,S3,fn,4,0,"REDUCED anchors=S3, layers_per_anchor=[20, 24, 28, 32, 35], feat_dim=12800"
task1_pooled_harmful_vs_nonharmful,S3,tp,4,64,"REDUCED anchors=S3, layers_per_anchor=[20, 24, 28, 32, 35], feat_dim=12800"
task2a_FB_degraded,S3,balanced_acc,0,0.812500,"REDUCED anchors=S3, layers_per_anchor=[20, 24, 28, 32, 35], feat_dim=12800"
task2a_FB_degraded,S3,f1_micro,0,0.812500,"REDUCED anchors=S3, layers_per_anchor=[20, 24, 28, 32, 35], feat_dim=12800"
task2a_FB_degraded,S3,auroc,0,0.718750,"REDUCED anchors=S3, layers_per_anchor=[20, 24, 28, 32, 35], feat_dim=12800"
task2a_FB_degraded,S3,ap,0,0.655853,"REDUCED anchors=S3, layers_per_anchor=[20, 24, 28, 32, 35], feat_dim=12800"
task2a_FB_degraded,S3,balanced_acc,1,0.750000,"REDUCED anchors=S3, layers_per_anchor=[20, 24, 28, 32, 35], feat_dim=12800"
task2a_FB_degraded,S3,f1_micro,1,0.750000,"REDUCED anchors=S3, layers_per_anchor=[20, 24, 28, 32, 35], feat_dim=12800"
task2a_FB_degraded,S3,auroc,1,0.875000,"REDUCED anchors=S3, layers_per_anchor=[20, 24, 28, 32, 35], feat_dim=12800"
task2a_FB_degraded,S3,ap,1,0.897159,"REDUCED anchors=S3, layers_per_anchor=[20, 24, 28, 32, 35], feat_dim=12800"
task2a_FB_degraded,S3,balanced_acc,2,0.761905,"REDUCED anchors=S3, layers_per_anchor=[20, 24, 28, 32, 35], feat_dim=12800"
task2a_FB_degraded,S3,f1_micro,2,0.750000,"REDUCED anchors=S3, layers_per_anchor=[20, 24, 28, 32, 35], feat_dim=12800"
task2a_FB_degraded,S3,auroc,2,0.746032,"REDUCED anchors=S3, layers_per_anchor=[20, 24, 28, 32, 35], feat_dim=12800"
task2a_FB_degraded,S3,ap,2,0.812003,"REDUCED anchors=S3, layers_per_anchor=[20, 24, 28, 32, 35], feat_dim=12800"
task2a_FB_degraded,S3,balanced_acc,3,0.761905,"REDUCED anchors=S3, layers_per_anchor=[20, 24, 28, 32, 35], feat_dim=12800"
task2a_FB_degraded,S3,f1_micro,3,0.750000,"REDUCED anchors=S3, layers_per_anchor=[20, 24, 28, 32, 35], feat_dim=12800"
task2a_FB_degraded,S3,auroc,3,0.777778,"REDUCED anchors=S3, layers_per_anchor=[20, 24, 28, 32, 35], feat_dim=12800"
task2a_FB_degraded,S3,ap,3,0.879487,"REDUCED anchors=S3, layers_per_anchor=[20, 24, 28, 32, 35], feat_dim=12800"
task2a_FB_degraded,S3,balanced_acc,4,0.619048,"REDUCED anchors=S3, layers_per_anchor=[20, 24, 28, 32, 35], feat_dim=12800"
task2a_FB_degraded,S3,f1_micro,4,0.625000,"REDUCED anchors=S3, layers_per_anchor=[20, 24, 28, 32, 35], feat_dim=12800"
task2a_FB_degraded,S3,auroc,4,0.746032,"REDUCED anchors=S3, layers_per_anchor=[20, 24, 28, 32, 35], feat_dim=12800"
task2a_FB_degraded,S3,ap,4,0.807528,"REDUCED anchors=S3, layers_per_anchor=[20, 24, 28, 32, 35], feat_dim=12800"
task2b_FR_degraded,S3,balanced_acc,0,0.821429,"REDUCED anchors=S3, layers_per_anchor=[20, 24, 28, 32, 35], feat_dim=12800"
task2b_FR_degraded,S3,f1_micro,0,0.687500,"REDUCED anchors=S3, layers_per_anchor=[20, 24, 28, 32, 35], feat_dim=12800"
task2b_FR_degraded,S3,auroc,0,0.892857,"REDUCED anchors=S3, layers_per_anchor=[20, 24, 28, 32, 35], feat_dim=12800"
task2b_FR_degraded,S3,ap,0,0.984642,"REDUCED anchors=S3, layers_per_anchor=[20, 24, 28, 32, 35], feat_dim=12800"
task2b_FR_degraded,S3,balanced_acc,1,0.500000,"REDUCED anchors=S3, layers_per_anchor=[20, 24, 28, 32, 35], feat_dim=12800"
task2b_FR_degraded,S3,f1_micro,1,0.500000,"REDUCED anchors=S3, layers_per_anchor=[20, 24, 28, 32, 35], feat_dim=12800"
task2b_FR_degraded,S3,auroc,1,0.464286,"REDUCED anchors=S3, layers_per_anchor=[20, 24, 28, 32, 35], feat_dim=12800"
task2b_FR_degraded,S3,ap,1,0.861538,"REDUCED anchors=S3, layers_per_anchor=[20, 24, 28, 32, 35], feat_dim=12800"
task2b_FR_degraded,S3,balanced_acc,2,0.607143,"REDUCED anchors=S3, layers_per_anchor=[20, 24, 28, 32, 35], feat_dim=12800"
task2b_FR_degraded,S3,f1_micro,2,0.687500,"REDUCED anchors=S3, layers_per_anchor=[20, 24, 28, 32, 35], feat_dim=12800"
task2b_FR_degraded,S3,auroc,2,0.785714,"REDUCED anchors=S3, layers_per_anchor=[20, 24, 28, 32, 35], feat_dim=12800"
task2b_FR_degraded,S3,ap,2,0.968029,"REDUCED anchors=S3, layers_per_anchor=[20, 24, 28, 32, 35], feat_dim=12800"
task2b_FR_degraded,S3,balanced_acc,3,0.641026,"REDUCED anchors=S3, layers_per_anchor=[20, 24, 28, 32, 35], feat_dim=12800"
task2b_FR_degraded,S3,f1_micro,3,0.625000,"REDUCED anchors=S3, layers_per_anchor=[20, 24, 28, 32, 35], feat_dim=12800"
task2b_FR_degraded,S3,auroc,3,0.769231,"REDUCED anchors=S3, layers_per_anchor=[20, 24, 28, 32, 35], feat_dim=12800"
task2b_FR_degraded,S3,ap,3,0.948068,"REDUCED anchors=S3, layers_per_anchor=[20, 24, 28, 32, 35], feat_dim=12800"
task2b_FR_degraded,S3,balanced_acc,4,0.769231,"REDUCED anchors=S3, layers_per_anchor=[20, 24, 28, 32, 35], feat_dim=12800"
task2b_FR_degraded,S3,f1_micro,4,0.625000,"REDUCED anchors=S3, layers_per_anchor=[20, 24, 28, 32, 35], feat_dim=12800"
task2b_FR_degraded,S3,auroc,4,0.820513,"REDUCED anchors=S3, layers_per_anchor=[20, 24, 28, 32, 35], feat_dim=12800"
task2b_FR_degraded,S3,ap,4,0.958564,"REDUCED anchors=S3, layers_per_anchor=[20, 24, 28, 32, 35], feat_dim=12800"
task2e_distr_degraded,S3,balanced_acc,0,0.400000,"REDUCED anchors=S3, layers_per_anchor=[20, 24, 28, 32, 35], feat_dim=12800"
task2e_distr_degraded,S3,f1_micro,0,0.750000,"REDUCED anchors=S3, layers_per_anchor=[20, 24, 28, 32, 35], feat_dim=12800"
task2e_distr_degraded,S3,auroc,0,0.800000,"REDUCED anchors=S3, layers_per_anchor=[20, 24, 28, 32, 35], feat_dim=12800"
task2e_distr_degraded,S3,ap,0,0.986627,"REDUCED anchors=S3, layers_per_anchor=[20, 24, 28, 32, 35], feat_dim=12800"
task2e_distr_degraded,S3,balanced_acc,1,0.800000,"REDUCED anchors=S3, layers_per_anchor=[20, 24, 28, 32, 35], feat_dim=12800"
task2e_distr_degraded,S3,f1_micro,1,0.625000,"REDUCED anchors=S3, layers_per_anchor=[20, 24, 28, 32, 35], feat_dim=12800"
task2e_distr_degraded,S3,auroc,1,0.800000,"REDUCED anchors=S3, layers_per_anchor=[20, 24, 28, 32, 35], feat_dim=12800"
task2e_distr_degraded,S3,ap,1,0.986627,"REDUCED anchors=S3, layers_per_anchor=[20, 24, 28, 32, 35], feat_dim=12800"
task2e_distr_degraded,S3,balanced_acc,2,0.800000,"REDUCED anchors=S3, layers_per_anchor=[20, 24, 28, 32, 35], feat_dim=12800"
task2e_distr_degraded,S3,f1_micro,2,0.625000,"REDUCED anchors=S3, layers_per_anchor=[20, 24, 28, 32, 35], feat_dim=12800"
task2e_distr_degraded,S3,auroc,2,0.933333,"REDUCED anchors=S3, layers_per_anchor=[20, 24, 28, 32, 35], feat_dim=12800"
task2e_distr_degraded,S3,ap,2,0.995833,"REDUCED anchors=S3, layers_per_anchor=[20, 24, 28, 32, 35], feat_dim=12800"
task2e_distr_degraded,S3,balanced_acc,3,0.800000,"REDUCED anchors=S3, layers_per_anchor=[20, 24, 28, 32, 35], feat_dim=12800"
task2e_distr_degraded,S3,f1_micro,3,0.625000,"REDUCED anchors=S3, layers_per_anchor=[20, 24, 28, 32, 35], feat_dim=12800"
task2e_distr_degraded,S3,auroc,3,0.866667,"REDUCED anchors=S3, layers_per_anchor=[20, 24, 28, 32, 35], feat_dim=12800"
task2e_distr_degraded,S3,ap,3,0.991389,"REDUCED anchors=S3, layers_per_anchor=[20, 24, 28, 32, 35], feat_dim=12800"
task2e_distr_degraded,S3,balanced_acc,4,0.866667,"REDUCED anchors=S3, layers_per_anchor=[20, 24, 28, 32, 35], feat_dim=12800"
task2e_distr_degraded,S3,f1_micro,4,0.750000,"REDUCED anchors=S3, layers_per_anchor=[20, 24, 28, 32, 35], feat_dim=12800"
task2e_distr_degraded,S3,auroc,4,0.800000,"REDUCED anchors=S3, layers_per_anchor=[20, 24, 28, 32, 35], feat_dim=12800"
task2e_distr_degraded,S3,ap,4,0.986627,"REDUCED anchors=S3, layers_per_anchor=[20, 24, 28, 32, 35], feat_dim=12800"
task3_ordinal_false_pressure_strength,S3,balanced_acc,0,1.000000,"REDUCED anchors=S3, layers_per_anchor=[20, 24, 28, 32, 35], feat_dim=12800"
task3_ordinal_false_pressure_strength,S3,f1_micro,0,1.000000,"REDUCED anchors=S3, layers_per_anchor=[20, 24, 28, 32, 35], feat_dim=12800"
task3_ordinal_false_pressure_strength,S3,spearman_class,0,1.000000,"REDUCED anchors=S3, layers_per_anchor=[20, 24, 28, 32, 35], feat_dim=12800"
task3_ordinal_false_pressure_strength,S3,mae_class,0,0.000000,"REDUCED anchors=S3, layers_per_anchor=[20, 24, 28, 32, 35], feat_dim=12800"
task3_ordinal_false_pressure_strength,S3,balanced_acc,1,0.984375,"REDUCED anchors=S3, layers_per_anchor=[20, 24, 28, 32, 35], feat_dim=12800"
task3_ordinal_false_pressure_strength,S3,f1_micro,1,0.984375,"REDUCED anchors=S3, layers_per_anchor=[20, 24, 28, 32, 35], feat_dim=12800"
task3_ordinal_false_pressure_strength,S3,spearman_class,1,0.993944,"REDUCED anchors=S3, layers_per_anchor=[20, 24, 28, 32, 35], feat_dim=12800"
task3_ordinal_false_pressure_strength,S3,mae_class,1,0.015625,"REDUCED anchors=S3, layers_per_anchor=[20, 24, 28, 32, 35], feat_dim=12800"
task3_ordinal_false_pressure_strength,S3,balanced_acc,2,1.000000,"REDUCED anchors=S3, layers_per_anchor=[20, 24, 28, 32, 35], feat_dim=12800"
task3_ordinal_false_pressure_strength,S3,f1_micro,2,1.000000,"REDUCED anchors=S3, layers_per_anchor=[20, 24, 28, 32, 35], feat_dim=12800"
task3_ordinal_false_pressure_strength,S3,spearman_class,2,1.000000,"REDUCED anchors=S3, layers_per_anchor=[20, 24, 28, 32, 35], feat_dim=12800"
task3_ordinal_false_pressure_strength,S3,mae_class,2,0.000000,"REDUCED anchors=S3, layers_per_anchor=[20, 24, 28, 32, 35], feat_dim=12800"
task3_ordinal_false_pressure_strength,S3,balanced_acc,3,1.000000,"REDUCED anchors=S3, layers_per_anchor=[20, 24, 28, 32, 35], feat_dim=12800"
task3_ordinal_false_pressure_strength,S3,f1_micro,3,1.000000,"REDUCED anchors=S3, layers_per_anchor=[20, 24, 28, 32, 35], feat_dim=12800"
task3_ordinal_false_pressure_strength,S3,spearman_class,3,1.000000,"REDUCED anchors=S3, layers_per_anchor=[20, 24, 28, 32, 35], feat_dim=12800"
task3_ordinal_false_pressure_strength,S3,mae_class,3,0.000000,"REDUCED anchors=S3, layers_per_anchor=[20, 24, 28, 32, 35], feat_dim=12800"
task3_ordinal_false_pressure_strength,S3,balanced_acc,4,1.000000,"REDUCED anchors=S3, layers_per_anchor=[20, 24, 28, 32, 35], feat_dim=12800"
task3_ordinal_false_pressure_strength,S3,f1_micro,4,1.000000,"REDUCED anchors=S3, layers_per_anchor=[20, 24, 28, 32, 35], feat_dim=12800"
task3_ordinal_false_pressure_strength,S3,spearman_class,4,1.000000,"REDUCED anchors=S3, layers_per_anchor=[20, 24, 28, 32, 35], feat_dim=12800"
task3_ordinal_false_pressure_strength,S3,mae_class,4,0.000000,"REDUCED anchors=S3, layers_per_anchor=[20, 24, 28, 32, 35], feat_dim=12800"
task4_pressure_perturb_vs_distractor,S3,balanced_acc,0,1.000000,"REDUCED anchors=S3, layers_per_anchor=[20, 24, 28, 32, 35], feat_dim=12800"
task4_pressure_perturb_vs_distractor,S3,f1_micro,0,1.000000,"REDUCED anchors=S3, layers_per_anchor=[20, 24, 28, 32, 35], feat_dim=12800"
task4_pressure_perturb_vs_distractor,S3,auroc,0,1.000000,"REDUCED anchors=S3, layers_per_anchor=[20, 24, 28, 32, 35], feat_dim=12800"
task4_pressure_perturb_vs_distractor,S3,ap,0,1.000000,"REDUCED anchors=S3, layers_per_anchor=[20, 24, 28, 32, 35], feat_dim=12800"
task4_pressure_perturb_vs_distractor,S3,balanced_acc,1,1.000000,"REDUCED anchors=S3, layers_per_anchor=[20, 24, 28, 32, 35], feat_dim=12800"
task4_pressure_perturb_vs_distractor,S3,f1_micro,1,1.000000,"REDUCED anchors=S3, layers_per_anchor=[20, 24, 28, 32, 35], feat_dim=12800"
task4_pressure_perturb_vs_distractor,S3,auroc,1,1.000000,"REDUCED anchors=S3, layers_per_anchor=[20, 24, 28, 32, 35], feat_dim=12800"
task4_pressure_perturb_vs_distractor,S3,ap,1,1.000000,"REDUCED anchors=S3, layers_per_anchor=[20, 24, 28, 32, 35], feat_dim=12800"
task4_pressure_perturb_vs_distractor,S3,balanced_acc,2,1.000000,"REDUCED anchors=S3, layers_per_anchor=[20, 24, 28, 32, 35], feat_dim=12800"
task4_pressure_perturb_vs_distractor,S3,f1_micro,2,1.000000,"REDUCED anchors=S3, layers_per_anchor=[20, 24, 28, 32, 35], feat_dim=12800"
task4_pressure_perturb_vs_distractor,S3,auroc,2,1.000000,"REDUCED anchors=S3, layers_per_anchor=[20, 24, 28, 32, 35], feat_dim=12800"
task4_pressure_perturb_vs_distractor,S3,ap,2,1.000000,"REDUCED anchors=S3, layers_per_anchor=[20, 24, 28, 32, 35], feat_dim=12800"
task4_pressure_perturb_vs_distractor,S3,balanced_acc,3,1.000000,"REDUCED anchors=S3, layers_per_anchor=[20, 24, 28, 32, 35], feat_dim=12800"
task4_pressure_perturb_vs_distractor,S3,f1_micro,3,1.000000,"REDUCED anchors=S3, layers_per_anchor=[20, 24, 28, 32, 35], feat_dim=12800"
task4_pressure_perturb_vs_distractor,S3,auroc,3,1.000000,"REDUCED anchors=S3, layers_per_anchor=[20, 24, 28, 32, 35], feat_dim=12800"
task4_pressure_perturb_vs_distractor,S3,ap,3,1.000000,"REDUCED anchors=S3, layers_per_anchor=[20, 24, 28, 32, 35], feat_dim=12800"
task4_pressure_perturb_vs_distractor,S3,balanced_acc,4,1.000000,"REDUCED anchors=S3, layers_per_anchor=[20, 24, 28, 32, 35], feat_dim=12800"
task4_pressure_perturb_vs_distractor,S3,f1_micro,4,1.000000,"REDUCED anchors=S3, layers_per_anchor=[20, 24, 28, 32, 35], feat_dim=12800"
task4_pressure_perturb_vs_distractor,S3,auroc,4,1.000000,"REDUCED anchors=S3, layers_per_anchor=[20, 24, 28, 32, 35], feat_dim=12800"
task4_pressure_perturb_vs_distractor,S3,ap,4,1.000000,"REDUCED anchors=S3, layers_per_anchor=[20, 24, 28, 32, 35], feat_dim=12800"
